math.AG,Algebraic Geometry
math.AT,Algebraic Topology
math.AP,Analysis of PDEs
math.CT,Category Theory
math.CA,Classical Analysis and ODEs
math.CO,Combinatorics
math.AC,Commutative Algebra
math.CV,Complex Variables
math.DG,Differential Geometry
math.DS,Dynamical Systems
math.FA,Functional Analysis
math.GM,General Mathematics
math.GN,General Topology
math.GT,Geometric Topology
math.GR,Group Theory
math.HO,History and Overview
math.IT,Information Theory
math.KT,K-Theory and Homology
math.LO,Logic
math.MP,Mathematical Physics
math.MG,Metric Geometry
math.NT,Number Theory
math.NA,Numerical Analysis
math.OA,Operator Algebras
math.OC,Optimization and Control
math.PR,Probability
math.QA,Quantum Algebra
math.RT,Representation Theory
math.RA,Rings and Algebras
math.SP,Spectral Theory
math.ST,Statistics Theory
math.SG,Symplectic Geometry
math-ph,Math Physics
cs.AI,Artificial Intelligence
cs.CL,Computation and Language
cs.CC,Computational Complexity
cs.CE,Computational Engineering Finance and Science
cs.CG,Computational Geometry
cs.GT,Computer Science and Game Theory
cs.CV,Computer Vision and Pattern Recognition
cs.CY,Computers and Society
cs.CR,Cryptography and Security
cs.GR,Graphics
cs.LG,Machine Learning
cs.RO,Robotics
hep-th,High Energy Physics Theory
q-bio.QM,Quantitative Methods
physics.data-an,Data Analysis, Statistics and Probability
cond-mat.str-el,Strongly Correlated Electrons
